"LANGUAGE","Türk"
"PRR_NAME","Revize Edilmiş RICO Yapıştırıcısı"
"PRR_LEVEL","Seviye"
"PRR_LVL","Svy"
"PRR_HOU","Ev Halkı"
"PRR_WOR","İstihdam"
"PRR_SRV_NON","Yok"
"PRR_SRV_RES","Konut"
"PRR_SRV_IND","Endüstri"
"PRR_SRV_OFF","Ofis"
"PRR_SRV_COM","Ticari"
"PRR_SRV_EXT","Ekstraktör"
"PRR_SRV_DUM","İşlevsiz"
"PRR_SUB_HIG","Yüksek"
"PRR_SUB_LOW","Düşük"
"PRR_SUB_HEC","Yüksek Eko"
"PRR_SUB_LEC","Düşük Eko"
"PRR_SUB_LEI","Eğlence"
"PRR_SUB_TOU","Turizm"
"PRR_SUB_ORG","Eko (organik)"
"PRR_SUB_GEN","Genel"
"PRR_SUB_ITC","Bilişim Bölgesi"
"PRR_SUB_FAR","Çiftçilik"
"PRR_SUB_FOR","Ormancılık"
"PRR_SUB_OIL","Petrol"
"PRR_SUB_ORE","Maden"
"PRR_FTR_ALL","Hepsi"
"PRR_FTR_NON","Hiçbiri"
"PRR_FTR_NAM","İsim"
"PRR_FTR_SET","Ayarlar Filtresi: Mod/Yazar/Lokal/Herhangi"
"PRR_OPT_SET","Ayarlar"
"PRR_OPT_MOD","Mod"
"PRR_OPT_AUT","Yazar"
"PRR_OPT_LOC","Yerel"
"PRR_OPT_ENA","RICO'yu Etkinleştir"
"PRR_OPT_SER","Servis"
"PRR_OPT_SUB","Alt Servis"
"PRR_OPT_UIC","UI kategorisi"
"PRR_OPT_CST","İnşaat maliyeti"
"PRR_OPT_CNT","Ev başına çalışan sayısı"
"PRR_OPT_POP","Gerçekçi Pop mod kullan"
"PRR_OPT_POL","Kirliliğe izin ver"
"PRR_OPT_GRO","Büyüyebilen"
"PRR_OPT_JB0","Eğitimsiz işler"
"PRR_OPT_JB1","Eğitimli işler"
"PRR_OPT_JB2","İyi Eğitimli işler"
"PRR_OPT_JB3","Yüksek Eğitimli işler"
"PRR_OPT_URP","Gerçekçi popülasyon seçeneği etkinleştirildiğinden popülasyon ayarları devre dışı bırakıldı"
"PRR_CAT_MON","Anıtlar"
"PRR_CAT_BEA","Güzelleştirme"
"PRR_CAT_EDU","Eğitim"
"PRR_CAT_HEA","Sağlık"
"PRR_CAT_FIR","İtfaiye"
"PRR_CAT_POL","Polis"
"PRR_CAT_POW","Enerji"
"PRR_CAT_WAT","Su"
"PRR_CAT_GAR","Çöp"
"PRR_CAT_PIN","Oyuncu endüstrisi"
"PRR_CAT_RES","Konut"
"PRR_CAT_COM","Ticari"
"PRR_CAT_OFF","Ofis"
"PRR_CAT_IND","Endüstri"
"PRR_UIC_REL","Hafif Konut"
"PRR_UIC_REH","Yoğun Konut"
"PRR_UIC_COL","Hafif Ticari"
"PRR_UIC_COH","Yoğun Ticari"
"PRR_UIC_OFF","Ofis"
"PRR_UIC_IND","Endüstri"
"PRR_UIC_FAR","Çiftçilik"
"PRR_UIC_FOR","Ormancılık"
"PRR_UIC_OIL","Petrol"
"PRR_UIC_ORE","Madencilik"
"PRR_UIC_LEI","Eğlence"
"PRR_UIC_TOU","Turizm"
"PRR_UIC_ORG","Organik Ticari"
"PRR_UIC_ITC","Bilişim Bölgesi"
